"","sl_no","word1","freq1","word2","freq2"
"246",246,"asher",7,"wins",7
"247",247,"coast",7,"youngblood",7
"248",248,"cry",7,"budlight",6
"249",249,"damaged",7,"cheerleaders",6
"250",250,"drunkyborghy",7,"contributor",6
"251",251,"eduaubdedubuad",7,"famer",6
"252",252,"emotions",7,"getting",6
"253",253,"fire",7,"gisramsshow",6
"254",254,"games",7,"hear",6
"255",255,"happy",7,"httpst‚Ä",6
"256",256,"httpstconewxxcor‚Ä",7,"httpstcosadivpg",6
"257",257,"httpstcozlkifhp",7,"httpstcotmwmrswxy",6
"258",258,"lol",7,"keep",6
"259",259,"muchnhtgawm",7,"know",6
"260",260,"nerves",7,"kroenke",6
"261",261,"new",7,"lineman",6
"262",262,"one",7,"made",6
"263",263,"question",7,"mashup",6
"264",264,"read",7,"mini",6
"265",265,"realize",7,"morning",6
"266",266,"saw",7,"nnmobsquad",6
"267",267,"shock",7,"rampage",6
"268",268,"shondaland",7,"ramsheadquarter",6
"269",269,"smovkelouis",7,"since",6
"270",270,"thought",7,"spoke",6
"271",271,"werent",7,"stubhub",6
"272",272,"yootori",7,"taylorfelix",6
"273",273,"alive",6,"thank",6
"274",274,"best",6,"throwbackthursday",6
"275",275,"broke",6,"ticketexchange‚Ä",6
"276",276,"caution",6,"todays",6
"277",277,"character",6,"unbreakablefans",6
"278",278,"characters",6,"wait",6
"279",279,"confused",6,"backup",5
"280",280,"donhalogen",6,"bad",5
"281",281,"exams",6,"brought",5
"282",282,"fake",6,"career",5
"283",283,"foreversaranya",6,"ceremony",5
"284",284,"funbeaz",6,"dallascowboys",5
"285",285,"funny",6,"deserved",5
"286",286,"happening",6,"eduaubcedubfufnnmobsquad",5
"287",287,"happiness",6,"exchange",5
"288",288,"htgawm‚",6,"games",5
"289",289,"httpstcofhkhgzfp",6,"gurley",5
"290",290,"httpstcovfgdme",6,"guys",5
"291",291,"httpstcoyxrrjxq",6,"hayes",5
"292",292,"important",6,"hes",5
"293",293,"isnt",6,"httpstconoobrihho",5
"294",294,"itsgregorio",6,"imagined",5
"295",295,"killing",6,"jedi",5
"296",296,"lifenrun",6,"johnny",5
"297",297,"months",6,"love",5
"298",298,"nnfrank",6,"low",5
"299",299,"nnruin",6,"michaelpgrande",5
"300",300,"nruin",6,"movie",5
"301",301,"ntake",6,"nfl‚Ä",5
"302",302,"pressure",6,"njlagunaa",5
"303",303,"rather",6,"offensive",5
"304",304,"real",6,"play",5
"305",305,"really",6,"ramsgroundbreaking",5
"306",306,"rest",6,"someone",5
"307",307,"sirencoliver",6,"stan",5
"308",308,"someone",6,"starwars",5
"309",309,"soon",6,"thinks",5
"310",310,"spoiler",6,"ticket",5
"311",311,"thru",6,"weeknnmobsquad",5
"312",312,"upnruin",6,"won",5
"313",313,"wait",6,"word",5
"314",314,"whatsdetweet",6,"youre",5
"315",315,"baby",5,"bar",4
"316",316,"badass",5,"becoming",4
"317",317,"bitch",5,"better",4
"318",318,"black",5,"billsimmons",4
"319",319,"case",5,"broncos",4
"320",320,"cast",5,"car",4
"321",321,"cause",5,"check",4
"322",322,"chuuzus",5,"come",4
"323",323,"come",5,"dodgers",4
"324",324,"complaint",5,"draft",4
"325",325,"cries",5,"familynmobsquad",4
"326",326,"eduaubdedubuaaeduaubcedubfubc",5,"fellow",4
"327",327,"eduaubdedubub",5,"god",4
"328",328,"eduaubdedubueduaubdedubueduaubdedubu",5,"goes",4
"329",329,"erjefferson",5,"goffnthis",4
"330",330,"except",5,"goniners",4
"331",331,"fifteen",5,"gtgt",4
"332",332,"figure",5,"history",4
"333",333,"foods",5,"host",4
"334",334,"getting",5,"ht‚Ä",4
