"","x"
"84","RT @jyleraf: WHAT THE ACTUAL FUCK #HTGAWM"
"85","MY HEART IS BREAKING SO MUCH #HTGAWM https://t.co/UEJgx5Yq5b"
"86","RT @violadavis: As always, thank you all for watching! Using #HTGAWM describe tonight's #WinterFinale in 1 WORD, 3 EMOJIS &amp; 1 GIF!!! Ready.…"
"87","RT @DrunkyBorghy: #HTGAWM SO MUCH SHIT GOING ON I'M https://t.co/IvB4ckWAVS"
"88","RT @HowToGetAwayABC: When you pass exams ...
#HTGAWM https://t.co/WfPsCFGbSA"
"89","RT @thatwhittt: I need some kind of #HTGAWM inner circle where we can all support each other emotionally because I cannot deal for the next…"
"90","RT @gabbydavidson_: how to get away with murder just furthered my belief that 2016 is the worst year in existence #HTGAWM"
"91","RT @ajanaomi_king: For those that already know ...I'm so sorry.
#HTGAWM"
"92","RT @chuuzus: good morning everyone except how to get away with murder writer for killing Wes instead of Nate who isn't important #htgawm ht…"
"93","RT @cinemagrace: Still can't believe it's Wes #HTGAWM  #underthesheet"
"94","RT @HowToGetAwayABC: No words!
#HTGAWM https://t.co/3tgYe33cz4"
"95","RT @CallMe_Starlord: Just when you didn't think 2016 could get any worse, we find out who's under the sheet. #htgawm https://t.co/aej0lQyaOQ"
"96","Don't speak to me for the rest of the year, I'll be mourning #HTGAWM #underthesheet"
"97","RT @ajanaomi_king: For those that already know ...I'm so sorry.
#HTGAWM"
"98","RT @ajanaomi_king: For those that already know ...I'm so sorry.
#HTGAWM"
"99","RT @Gia98Gia: After seeing who was under the sheet #HTGAWMWinterFinale #HTGAWM https://t.co/HCB8NYbMdo"
"100","RT @jitterary: NOO. I refuse. He's okay. He'll be back. #htgawm"
"101","RT @laurelsgibbin: I am tired of characters of color getting killed off. He didnt deserved this. He just didnt. #htgawm #ripwesgibbins http…"
"102","RT @conradricamora: Thanks for watching #htgawm fans. I know what ur going through. I'm right there with you. <U+2764><U+FE0F>"
"103","RT @IamTJ_Jones: Sick to my stomach with #HTGAWM ended just now! You know its great TV when fictional characters dying has you feelin some…"
"104","RT @SMOVKELOUIS: @RestingPlatypus #HTGAWM me trying to not read spoilers: https://t.co/0ZlkI31FHP"
"105","OUT OF THE PPL WHO CAN DIE IN #HTGAWM IT HAD TO BE WES? WTFFFFFFF YO. IT WAS FRANK. FUCK. IM CRYING SO HARD RN @shondarhimes #RIPWAITLIST"
"106","RT @INKdaRapper: Please let that be Wes' secret evil twin brother, East #HTGAWM   @shondarhimes"
"107","@ajanaomi_king !!!!!!! THIS CANT BE WTH I CANT BREATHE <U+203C><U+FE0F><U+203C><U+FE0F><U+203C><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B9><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #HTGAWM"
"108","RT @itsgregorio__: why <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> does <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> shonda <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> rhimes <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> play <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> games <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> with <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> my <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> heart #htgawm #greysanatomy"
"109","RT @petenowalk: This was the hardest showrunner decision I've ever made #StomachPains&amp;Tears #HTGAWM"
"110","RT @petenowalk: And we officially say goodbye to 1130 Whitley Ave #BestSetEver #HTGAWM #UnderTheSheet"
"111","RT @hey_tearcatcher: HI, I'M AS DEAD AS THE BODY UNDER THE SHEET #HTGAWM"
"112","RT @munaism: I think classes should be cancelled nationwide for a week due to high emotional stress #htgawm"
"113","RT @EW: .@HowToGetAwayABC victim delves into death on #ShondalandRevealed: https://t.co/D0QPHP18Jp <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1> #HTGAWM https://t.co/jVLy1Ox01R"
"114","CRYING IN PANIC #HTGAWM"
"115","RT @RestingPlatypus: We got through it. Thanks for tuning in fam. #HTGAWM"
"116","never cried at a finale so much in my life <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #htgawm"
"117","RT @Cristallizing: Peter: But Wes is a main charac--
Shonda: Kill him
#HTGAWM https://t.co/avKHbf9Qjj"
"118","RT @TheSkorpion: This been Annalise her whole damn time on TV. #HTGAWM https://t.co/xWCdJE0Ac6"
"119","RT @WANIMINAJ: #HTGAWM 
When we saw Nate going into the house and we assumed he was the body...Shonda was like https://t.co/Mvu7zGKIip"
"120","RT @TVGuide: We spoke to #HTGAWM’s victim #underthesheet about his shocking death https://t.co/kzzYTlLmCl @HowToGetAwayABC https://t.co/85p…"
"121","RT @RestingPlatypus: We got through it. Thanks for tuning in fam. #HTGAWM"
"122","#HTGAWM Holy nuts"
"123","#HTGAWM tweets making me more curious. Good job to you guys for not tweeting any spoilers =)"
"124","""BEING FREE OF YOU WOKE ME THE HELL UP"" - Nate #HTGAWM <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> https://t.co/3x0kD7gxw9"
"125","RT @RestingPlatypus: I don't want to spoil anything for those of you who haven't seen the ep yet. But DAMN #HTGAWM"
"126","KNEW IT WAS WES #HTGAWM"
"127","RT @RestingPlatypus: Yes but, on the plus side, you live in Spain. And Spain is... Spain. #HTGAWM  https://t.co/c4uk0JqUbv"
"128","RT @alonzolerone: Sorry, can't go to work tomorrow. Someone real close to me died in a fire #HTGAWM"
"129","Cant gaf that wes died tbh im just glad Connor is alive. But it's still sad bcs wes is such a huge part of the K5 #htgawm"
"130","RT @Rosariophillipz: Asher is my lil unproblematic baby child. I luv him so much. Protect him at all costs! #HTGAWM"
"131","RT @Shalonda_loveee: Shonda be like: 

I killed McDreamy, Denny, Mark, Lexie, George, Rebecca, Sam, now WES.. You naaame it!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AA> #HTGAWM…"
"132","Literally me when Nate showed up to see who's under the sheet #HTGAWM https://t.co/0TJjbgTEBF"
"133","RT @shruti_talekar: @RestingPlatypus @KarlaSouza7 @ajanaomi_king @MattMcGorry FAVES<U+2764><U+FE0F> #HTGAWM https://t.co/FnpoDd6EMW"
