"word","freq"
"httpstcotnmggvonrt",6
"httpstcovfgdme",6
"httpstcoxvfrpslqvg",6
"httpstcoykinxt",6
"httpstcoyxrrjxq",6
"httpstnrt",6
"islam",6
"issues",6
"itsgregorio",6
"jeneps",6
"jetup",6
"joseph",6
"journalists",6
"killing",6
"leahr",6
"learn",6
"liberals",6
"lifenrun",6
"lineman",6
"listen",6
"lobby",6
"looking",6
"lying",6
"mashup",6
"maybe",6
"means",6
"mini",6
"minister",6
"msm",6
"nmrs",6
"nnfrank",6
"nnruin",6
"nownndoes",6
"nruin",6
"ntake",6
"officialmagnito",6
"pass",6
"pensioners",6
"phone",6
"platform",6
"playing",6
"ppl",6
"praises",6
"president",6
"pressure",6
"problem",6
"rampage",6
"ramsheadquarter",6
"reported",6
"reporters",6
"ron",6
"royal",6
"security",6
"sees",6
"shes",6
"sirencoliver",6
"sitting",6
"sleep",6
"smear",6
"social",6
"sokokoblog",6
"spains",6
"spoiler",6
"sremmurds",6
"stopbannon",6
"storefront",6
"supportbannonnhttps",6
"supremacist",6
"talented",6
"talking",6
"taylorfelix",6
"thing",6
"third",6
"tho",6
"throwbackthursday",6
"thru",6
"ticket",6
"ticketexchange",6
"todays",6
"trumptrainnewss",6
"twist",6
"unbreakablefans",6
"unde",6
"university",6
"upnruin",6
"valley",6
"vardy",6
"war",6
"wednesdaywisdom",6
"welcome",6
"whatsdetweet",6
"window",6
"word",6
"worked",6
"writer",6
"wrong",6
"accused",5
"actual",5
"added",5
"admin",5
"allegedly",5
"almost",5
"amakao",5
"americans",5
"annaleclaire",5
"antisemiticterrorism",5
"apink",5
"apinkts",5
"ass",5
"auspol",5
"avoids",5
"backup",5
"badass",5
"bannonnnspread",5
"beatles",5
"bennett",5
"benswann",5
"bigotry",5
"bitch",5
"boy",5
"carolinewalkerb",5
"ceremony",5
"chargers",5
"chat",5
"cheer",5
"choice",5
"christichat",5
"chuuzus",5
"cnews",5
"comparing",5
"confirmed",5
"cries",5
"dangerous",5
"demand",5
"democracynow",5
"democrats",5
"deserve",5
